question,phase_primary,phase_secondary,funding_state,funding_private,fundingPhase_private_primary,fundingPhase_state_primary,fundingPhase_private_secondary,fundingPhase_state_secondary,ofsted_outstanding,ofsted_good,ofsted_RI_inadequate,fsm_q1_affluent,fsm_q2,fsm_q3,fsm_q4_deprived,schoolSize_q1_small,schoolSize_q2,schoolSize_q3,schoolSize_q4_large,schoolGovernance_LA_comm,schoolGovernance_LA_non_comm,schoolGovernance_large_MAT,schoolGovernance_small_MAT,schoolGovernance_ind_acad,region_East,region_london,region_midlands,region_NW,region_SE,region_SW,region_yorkshire_NE,age_20s,age_30s,age_40s,age_50s_plus,gender_female,gender_male,experience_Less_than_5,experience_between_5_and_10,experience_between_10_and_20,experience_Over_20,seniority_teacher,seniority_middle_leader,seniority_slt_excl_head,seniority_headteacher,subject_english,subject_maths,subject_science,subject_humanities,subject_languages,subject_arts_and_DT,subject_other_inc_PE,keyStage_ks1,keyStage_ks2,seniorSplit_SLT_mentor,seniorSplit_head_teacher_mentor,seniorSplit_SLT_non_Mentor,seniorSplit_head_teacher_non_Mentor
time,0.304888152,0.310261081,0.310344828,0.256756757,0.1875,0.30910683,0.275862069,0.311289245,0.293981481,0.314424635,0.336986301,0.297297297,0.331786543,0.323383085,0.326732673,0.311688312,0.33632287,0.326589595,0.301075269,0.354385965,0.286624204,0.313829787,0.303921569,0.334801762,0.313351499,0.293144208,0.279545455,0.298932384,0.336079077,0.317241379,0.335243553,0.126666667,0.287895311,0.307359307,0.384116694,0.287198866,0.370013755,0.157303371,0.193236715,0.296603148,0.36996337,0.138392857,0.175373134,0.33375,0.450733753,0.297619048,0.268595041,0.320143885,0.310144928,0.252427184,0.342857143,0.342245989,0.227272727,0.294332724,26%,23%,33%,44%
salary,0.033968517,0.077109897,0.056081849,0.101351351,0.0625,0.033274956,0.112068966,0.073480294,0.071759259,0.056726094,0.043835616,0.051801802,0.078886311,0.059701493,0.059405941,0.049350649,0.082959641,0.060693642,0.064516129,0.042105263,0.057324841,0.061702128,0.088235294,0.083700441,0.040871935,0.056737589,0.056818182,0.06405694,0.057660626,0.065517241,0.05730659,0.093333333,0.061068702,0.055411255,0.053484603,0.054794521,0.068775791,0.06741573,0.048309179,0.051367026,0.068681319,0.053571429,0.041044776,0.060625,0.071278826,0.071428571,0.074380165,0.082733813,0.072463768,0.087378641,0.066666667,0.064171123,0.016528926,0.045703839,5%,9%,6%,6%
collaborations,0.187241094,0.213721919,0.206896552,0.101351351,0.09375,0.189141856,0.103448276,0.220440882,0.19212963,0.208535927,0.208219178,0.18018018,0.222737819,0.199004975,0.25990099,0.203896104,0.206278027,0.225433526,0.225806452,0.147368421,0.127388535,0.25,0.205882353,0.211453744,0.21253406,0.196217494,0.179545455,0.199288256,0.2092257,0.234482759,0.200573066,0.12,0.19738277,0.204329004,0.228525122,0.192725555,0.229711142,0.06741573,0.15942029,0.196354598,0.228021978,0.080357143,0.119402985,0.215625,0.299790356,0.238095238,0.20661157,0.143884892,0.217391304,0.242718447,0.2,0.22459893,0.165289256,0.170018282,13%,36%,23%,30%
internal_training,0.174813587,0.369763206,0.287608943,0.283783784,0.125,0.176882662,0.327586207,0.372077488,0.351851852,0.279308482,0.265753425,0.304054054,0.250580046,0.268656716,0.351485149,0.287012987,0.313901345,0.274566474,0.318996416,0.263157895,0.178343949,0.314893617,0.284313725,0.330396476,0.27520436,0.323877069,0.302272727,0.256227758,0.306425041,0.224137931,0.286532951,0.253333333,0.324972737,0.284848485,0.246353323,0.258856873,0.367262724,0.258426966,0.241545894,0.316487158,0.275641026,0.1875,0.25,0.309375,0.299790356,0.369047619,0.367768595,0.348920863,0.385507246,0.32038835,0.352380952,0.363636364,0.144628099,0.175502742,24%,18%,32%,29%
external_training,0.508699254,0.50273224,0.518378174,0.324324324,0.34375,0.516637478,0.318965517,0.519706079,0.516203704,0.522420313,0.465753425,0.538288288,0.526682135,0.492537313,0.492574257,0.511688312,0.522421525,0.531791908,0.498207885,0.498245614,0.50955414,0.496808511,0.588235294,0.555066079,0.536784741,0.503546099,0.486363636,0.523131673,0.518945634,0.493103448,0.512893983,0.38,0.491821156,0.521212121,0.526742301,0.503070383,0.511691884,0.303370787,0.420289855,0.518641259,0.537545788,0.348214286,0.406716418,0.5225,0.63312369,0.511904762,0.520661157,0.496402878,0.52173913,0.514563107,0.504761905,0.449197861,0.475206612,0.484460695,62%,64%,49%,63%
events,0.037282519,0.075895568,0.060250095,0.047297297,0.03125,0.036777583,0.051724138,0.078156313,0.055555556,0.063209076,0.049315068,0.06981982,0.055684455,0.052238806,0.059405941,0.036363636,0.062780269,0.089595376,0.078853047,0.066666667,0.038216561,0.056382979,0.068627451,0.070484581,0.051771117,0.06855792,0.061363636,0.046263345,0.065897858,0.068965517,0.051575931,0.033333333,0.05997819,0.057142857,0.069692058,0.05621162,0.066024759,0.02247191,0.038647343,0.061309031,0.066849817,0.03125,0.031716418,0.064375,0.085953878,0.053571429,0.066115702,0.064748201,0.089855072,0.058252427,0.047619048,0.101604278,0.02892562,0.032906764,3%,14%,6%,8%
recognition,0.056338028,0.046144505,0.050018947,0.054054054,0.03125,0.056042032,0.060344828,0.045424182,0.0625,0.052404106,0.032876712,0.056306306,0.034802784,0.049751244,0.04950495,0.037662338,0.042600897,0.069364162,0.064516129,0.045614035,0.050955414,0.045744681,0.068627451,0.052863436,0.04359673,0.061465721,0.054545455,0.049822064,0.039538715,0.055172414,0.051575931,0.013333333,0.049073064,0.05974026,0.04376013,0.045347189,0.064649243,0.011235955,0.033816425,0.049710025,0.06043956,0.004464286,0.029850746,0.044375,0.115303983,0.050595238,0.041322314,0.043165468,0.04057971,0.058252427,0.057142857,0.037433155,0.033057851,0.049360146,4%,18%,4%,11%
none,0.201325601,0.200364299,0.197423266,0.304054054,0.34375,0.200525394,0.293103448,0.19505678,0.185185185,0.19286872,0.232876712,0.177927928,0.213457077,0.211442786,0.173267327,0.202597403,0.18161435,0.161849711,0.211469534,0.203508772,0.23566879,0.191489362,0.176470588,0.171806167,0.188010899,0.186761229,0.218181818,0.227758007,0.197693575,0.196551724,0.186246418,0.313333333,0.222464558,0.185281385,0.173419773,0.213037317,0.165061898,0.382022472,0.330917874,0.191383596,0.152930403,0.419642857,0.330223881,0.16,0.090146751,0.196428571,0.198347107,0.262589928,0.205797101,0.165048544,0.2,0.165775401,0.231404959,0.232175503,21%,18%,15%,9%
